,row,git_commit,gh_project_name,gh_is_pr,git_merged_with,gh_lang,git_branch,gh_first_commit_created_at,gh_team_size,git_commits,git_num_commits,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,gh_src_churn,gh_test_churn,gh_files_added,gh_files_deleted,gh_files_modified,gh_tests_added,gh_tests_deleted,gh_src_files,gh_doc_files,gh_other_files,gh_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,tr_build_id,gh_pull_req_num,tr_status,tr_duration,tr_started_at,tr_jobs,tr_build_number,tr_job_id,tr_lan,tr_setup_time,tr_analyzer,tr_frameworks,tr_tests_ok,tr_tests_fail,tr_tests_run,tr_tests_skipped,tr_failed_tests,tr_testduration,tr_purebuildduration,tr_tests_ran,tr_tests_failed,git_num_committers,tr_num_jobs,tr_prev_build,tr_ci_latency
29,30,35a32f0135d094bfe752af1298b4c050491c295d,47deg/appsly-android-rest,False,,java,master,2013-10-14 14:09:35,4,cdc2245c77f85214c7c84606f67a48a12da8ad85,1,0,0,0,4,0,0,0,1,0,0,1,0,0,2,2355,0.0,0.0,0.0,True,,12518394,,errored,54.0,2013-10-14 13:09:35,"[12518395, 12518396, 12518397, 12518398]",24,12518397,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
8,9,0f45173135d6f5df5ab422627910211fb5b589b1,47deg/appsly-android-rest,False,,java,master,2013-08-17 00:42:54,3,9766eb141693fceb2340aa19059ac7081eb0b215,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2318,0.0,0.0,0.0,True,,10297677,,errored,41.0,2013-08-16 23:42:54,"[10297680, 10297681, 10297679, 10297678]",17,10297679,java,0.0,java-ant,,,,,,,,,False,False,1,4,4277.0,-1
78,79,f88e4b1eee613a8f6719bf274d44e23736779572,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:21:33,4,a951ca737d68c712fde809555f1e00bd4a4420a7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14012328,,errored,45.0,2013-11-15 08:21:33,"[14012329, 14012330, 14012331, 14012332]",34,14012332,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
80,81,c67e65a39f0e87f546b9ece9c82a332b357fc034,47deg/appsly-android-rest,False,,java,master,2013-12-06 12:01:02,4,f88e4b1eee613a8f6719bf274d44e23736779572,1,0,0,0,0,0,0,0,1,0,6,0,0,0,1,1756,161.731207289294,3.41685649202733,9.11161731207289,True,,15034917,,errored,44.0,2013-12-06 12:01:02,"[15034918, 15034919, 15034920, 15034921]",35,15034919,java,0.0,java-ant,,,,,,,,,False,False,1,4,3417.0,-1
46,47,903e8acc57d6eadc1d4bb9a4e353f08bd190edfe,47deg/appsly-android-rest,False,,java,master,2013-10-24 09:09:36,4,c952c1a5e77bf525fd13fb623f90bf2f4a812898,1,0,0,0,12,13,0,0,3,0,0,3,0,0,2,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,12972963,,errored,61.0,2013-10-24 08:09:36,"[12972964, 12972965, 12972966, 12972967]",28,12972964,java,0.0,java-ant,,,,,,,,,False,False,1,4,4991.0,-1
68,69,8c95d75168f2ea1cff49ae809c4baa6b2725bc8a,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:06:18,4,13ad8c06bef212b9270eea5547a109da87e4e866,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011914,,errored,45.0,2013-11-15 08:06:18,"[14011915, 14011916, 14011917, 14011918]",32,14011918,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
95,96,876a83a36beb5be55ef44451056674517b35f688,47deg/appsly-android-rest,False,,java,master,2013-12-09 23:12:02,4,2ad0a07de67a6e18822359489a65995dc21f3e95,1,0,0,0,279,0,5,0,5,0,0,10,0,0,4,2118,120.396600566572,1.41643059490085,4.24929178470255,True,,15196440,,errored,61.0,2013-12-09 23:12:02,"[15196441, 15196442, 15196443, 15196444]",40,15196442,java,0.0,java-ant,,,,,,,,,False,False,1,4,5304.0,-1
12,13,c08c4cdee730059ef0ddc0c55a6c5b6e7538af26,47deg/appsly-android-rest,False,,java,master,2013-08-17 00:48:52,3,0f45173135d6f5df5ab422627910211fb5b589b1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2318,0.0,0.0,0.0,True,,10297759,,errored,49.0,2013-08-16 23:48:52,"[10297762, 10297763, 10297761, 10297760]",18,10297763,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
24,25,3ab53e42f0fb599832a0963a39ca94547239d89a,47deg/appsly-android-rest,False,,java,master,2013-09-04 12:58:38,3,47e39ce40e3f03718e7ef9101701cccfe8610c33,1,0,0,0,217,0,2,0,4,0,0,5,0,1,9,2355,0.0,0.0,0.0,True,,10971867,,errored,86.0,2013-09-04 11:58:38,"[10971868, 10971870, 10971871, 10971869]",21,10971868,java,0.0,java-ant,,,,,,,,,False,False,1,4,4247.0,-1
28,29,35a32f0135d094bfe752af1298b4c050491c295d,47deg/appsly-android-rest,False,,java,master,2013-10-14 14:09:35,4,cdc2245c77f85214c7c84606f67a48a12da8ad85,1,0,0,0,4,0,0,0,1,0,0,1,0,0,2,2355,0.0,0.0,0.0,True,,12518394,,errored,54.0,2013-10-14 13:09:35,"[12518395, 12518396, 12518397, 12518398]",24,12518396,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
